"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 14 11:01:28 CST 2022","Thu Apr 14 11:01:29 CST 2022","1027","script.update_platform","test_apt_update_case_3","Test_Apt_Update","","","按数量更新匹配到任务",""
"passed","Thu Apr 14 11:01:44 CST 2022","Thu Apr 14 11:01:44 CST 2022","14","script.update_platform","test_apt_update_5","Test_Apt_Update","","","test_bind_unioinid[307-http://10.0.33.50:9302/repository/get/eagle/non-free/binary-amd64/Packages-headers2-APT转发接口LicenseMachineID空值]",""
"passed","Thu Apr 14 11:01:40 CST 2022","Thu Apr 14 11:01:41 CST 2022","1022","script.update_platform","test_apt_update_case_14","Test_Apt_Update","","","序列号精准匹配到任务",""
"passed","Thu Apr 14 11:01:42 CST 2022","Thu Apr 14 11:01:43 CST 2022","1023","script.update_platform","test_apt_update_case_16","Test_Apt_Update","","","序列号精准匹配到任务",""
"passed","Thu Apr 14 11:01:43 CST 2022","Thu Apr 14 11:01:44 CST 2022","1057","script.update_platform","test_apt_update_case_17","Test_Apt_Update","","","暂停任务匹配后开启任务",""
"passed","Thu Apr 14 11:01:45 CST 2022","Thu Apr 14 11:01:45 CST 2022","10","script.update_platform","test_update_status","Test_Update","","","test_update_status[200-http://gray-update-pre.uniontech.com/api/v1/update/status-headers0-data0-更新结果上报完整参数]",""
"passed","Thu Apr 14 11:01:33 CST 2022","Thu Apr 14 11:01:34 CST 2022","1029","script.update_platform","test_apt_update_case_8","Test_Apt_Update","","","没有匹配到任何任务返回主线下载",""
"passed","Thu Apr 14 11:01:39 CST 2022","Thu Apr 14 11:01:40 CST 2022","1052","script.update_platform","test_apt_update_case_13","Test_Apt_Update","","","暂停任务匹配后开启任务",""
"passed","Thu Apr 14 11:01:36 CST 2022","Thu Apr 14 11:01:37 CST 2022","1025","script.update_platform","test_apt_update_case_10","Test_Apt_Update","","","高于主线版本没有匹配到任务返回当前版本",""
"passed","Thu Apr 14 11:01:44 CST 2022","Thu Apr 14 11:01:44 CST 2022","25","script.update_platform","test_license_sync","Test_Apt_Update","","","test_apt_update[200-https://gray-update-pre.uniontech.com/api/v1/license/sync-headers0-data0-同步接口全量参数]",""
"passed","Thu Apr 14 11:01:45 CST 2022","Thu Apr 14 11:01:45 CST 2022","5","script.update_platform","test_update_status_3","Test_Update","","","test_update_status[1-http://gray-update-pre.uniontech.com/api/v1/update/status-headers0-data0-更新结果上报设备id为空]",""
"passed","Thu Apr 14 11:01:44 CST 2022","Thu Apr 14 11:01:44 CST 2022","14","script.update_platform","test_apt_update","Test_Apt_Update","","","apt全量参数请求",""
"passed","Thu Apr 14 11:01:38 CST 2022","Thu Apr 14 11:01:39 CST 2022","1040","script.update_platform","test_apt_update_case_12","Test_Apt_Update","","","结束任务匹配不到任务返回主线仓库",""
"passed","Thu Apr 14 11:01:45 CST 2022","Thu Apr 14 11:01:45 CST 2022","9","script.update_platform","test_license_sync_4","Test_Apt_Update","","","test_apt_update[200-https://gray-update-pre.uniontech.com/api/v1/license/sync-headers0-data0-同步接口message_id为空校验不通过]",""
"passed","Thu Apr 14 11:01:44 CST 2022","Thu Apr 14 11:01:44 CST 2022","9","script.update_platform","test_license_sync_2","Test_Apt_Update","","","test_apt_update[200-https://gray-update-pre.uniontech.com/api/v1/license/sync-headers0-data0-同步接口status空校验不通过]",""
"passed","Thu Apr 14 11:01:30 CST 2022","Thu Apr 14 11:01:31 CST 2022","1027","script.update_platform","test_apt_update_case_5","Test_Apt_Update","","","匹配到锁定任务精准",""
"passed","Thu Apr 14 11:01:44 CST 2022","Thu Apr 14 11:01:45 CST 2022","10","script.update_platform","test_license_sync_3","Test_Apt_Update","","","test_apt_update[200-https://gray-update-pre.uniontech.com/api/v1/license/sync-headers0-data0-同步接口customer_name为空校验不通过]",""
"passed","Thu Apr 14 11:01:26 CST 2022","Thu Apr 14 11:01:27 CST 2022","1028","script.update_platform","test_apt_update_case_1","Test_Apt_Update","","","比例更新匹配任务",""
"passed","Thu Apr 14 11:01:41 CST 2022","Thu Apr 14 11:01:42 CST 2022","1025","script.update_platform","test_apt_update_case_15","Test_Apt_Update","","","1043终端用户不满足任务返回当前版本",""
"passed","Thu Apr 14 11:01:34 CST 2022","Thu Apr 14 11:01:36 CST 2022","1025","script.update_platform","test_apt_update_case_9","Test_Apt_Update","","","高于主线版本没有匹配到任务返回当前版本",""
"passed","Thu Apr 14 11:01:31 CST 2022","Thu Apr 14 11:01:32 CST 2022","1025","script.update_platform","test_apt_update_case_6","Test_Apt_Update","","","匹配到锁定任务条件搜索",""
"passed","Thu Apr 14 11:01:32 CST 2022","Thu Apr 14 11:01:33 CST 2022","1026","script.update_platform","test_apt_update_case_7","Test_Apt_Update","","","渠道名称匹配到分组和任务",""
"passed","Thu Apr 14 11:01:44 CST 2022","Thu Apr 14 11:01:44 CST 2022","2","script.update_platform","test_apt_update_1","Test_Apt_Update","","","APT转发接口授权码错误校验不通过",""
"passed","Thu Apr 14 11:01:44 CST 2022","Thu Apr 14 11:01:44 CST 2022","2","script.update_platform","test_apt_update_4","Test_Apt_Update","","","test_bind_unioinid[404-http://10.0.33.50:9302/repository/get/eagle/non-free/binary-amd64/Packages-headers0-APT转发接口版本号为X-Source-Url空值]",""
